,Phone number,Fax,Email,Website,Address,locality,administrative_area_level_2,administrative_area_level_1,country,relation_number
67,029 18 03 43,029 18 03 43,apchdag17@gmail.com,,commune hassi delaa,Hassi Delaa,Hassi R'Mel,Laghouat,Algeria,6546022
68,029 18 71 71,029 18 71 70/029 18 71 69,apc-hrm@gmail.com,,apc hassi rmel,Hassi R'Mel,Hassi R'Mel,Laghouat,Algeria,6546023
69,029 13 04 85/029 13 05 84,029 93 01 20/029 93 01 21,apcainmadi@yahoo.com,www.apc-ainmadhi.dz,avenue du 1 novombre,Ain Madhi,Ain Madhi,Laghouat,Algeria,6546012
70,029 13 65 71,029 13 65 71,,,cite 100 logements,Tadjemout,Ain Madhi,Laghouat,Algeria,6546032
71,029 14 82 38/029 14 82 21,029 14 82 39,,,commune kheneg,Kheneg,Ain Madhi,Laghouat,Algeria,6546024
72,029 17 33 23,029 17 33 25,apc gueltat sidi saad@gmail.com,,ahdath 11 decembre,Gueltat Sidi Saad,Gueltat Sidi Saad,Laghouat,Algeria,6546020
73,029 17 02 90,029 17 02 89,apc ain sidi ali@gmail.com,,cite elchahid toumi adda,Ain Sidi Ali,Gueltat Sidi Saad,Laghouat,Algeria,6546013
74,029 16 82 82,029 16 82 85/84,,,rue alamir abdelkader,El Beidha,Gueltat Sidi Saad,Laghouat,Algeria,6546014
75,029 16 02 75,029 16 02 75,communebrida@gmail.com,,commune brida,Brida,Brida,Laghouat,Algeria,6546016
76,029 16 52 24,029 16 52 24,communeelghicha@yahoo.com,,ruerouadi abdelkader,El Ghicha,El Ghicha,Laghouat,Algeria,6546018
77,029 16 89 52,029 16 89 52,apchadjmechri@gmail.com,,commune hadj mechri,Hadj Mechri,Brida,Laghouat,Algeria,6546021
78,029 16 91 68,029 16 91 69,,,vsa sebgag,Sebgag,Aflou,Laghouat,Algeria,6546029
79,029 16 32 94,029 16 32 56,apctaouiala0317@gmail.com,,cite quarter martyrs,Taouiala,Brida,Laghouat,Algeria,6546034
80,029 14 02 05,029 14 01 02,tadjrouna0318@gmail.com ,,commune tadjrouna,Tadjrouna,Ain Madhi,Laghouat,Algeria,6546033
81,029 16 67 89,029 16 67 65,,,cite revolution agricole,Aflou,Aflou,Laghouat,Algeria,6546011
82,029 12 62 31,029 12 62 29,apc.el.assafia@gmail.com,,cite 08 mai 1945,El Assafia,Sidi Makhlouf,Laghouat,Algeria,6546017
83,029 16 38 66,029 16 38 66,,,commune oued morra,Oued Morra,Oued Morra,Laghouat,Algeria,6546028
84,029 12 30 16,029 12 30 16,,,commune m'zi,Oued M'Zi,Oued Morra,Laghouat,Algeria,6546027
85,029 14 41 50,029 14 41 49,haouitadz@gmail.com ,,commune el haouita,El Houaita,Ain Madhi,Laghouat,Algeria,6546019
86,029 16 21 87,029 16 21 88,,,commune sidi bouzid,Sidi Bouzid,Aflou,Laghouat,Algeria,6546030
87,032 56 02 09,032 56 07 08/06 20/06 98,,,Rue Abbad Alaoua,Oum El Bouaghi,Oum El Bouaghi,Oum El Bouaghi,Algeria,4469695
88,032 68 94 67,032 68 94 68,,,Boulevard Kanouni El Tayeb,Ain Beida,Ain Beida,Oum El Bouaghi,Algeria,4486894
89,032 50 60 32,032 50 60 30,,,Boulevard Souiki Boudjmaa,Ain M'Lila,Ain M'Lila,Oum El Bouaghi,Algeria,3678573
90,032 66 81 20/21,032 66 81 20,,,Rue guerre de  libiration,Behir Chergui,Meskiana,Oum El Bouaghi,Algeria,4489885
91,032 58 61 04,032 58 61 04,,,Ouled Djlila,El Amiria,Sigus,Oum El Bouaghi,Algeria,3669980
92,032 56 81 53,032 56 80 03,,,Rue El Istiklal,Sigus,Sigus,Oum El Bouaghi,Algeria,3669909
93,032 66 80 14,032 66 80 13,,,Boulevard 01 Mai 1945,El Belala,Meskiana,Oum El Bouaghi,Algeria,4494201
94,032 67 33 20,032 67 33 89,,,Boulevad Ben Boulaid,Ain Babouche,Ain Babouche,Oum El Bouaghi,Algeria,4471690
95,032 67 51 25,032 67 51 24,,,Rue 01 Novembre,Berriche,Ain Beida,Oum El Bouaghi,Algeria,4489752
96,032 44 51 00/50 50,032 44 51 30,,,Ouled Hamla Centre,Ouled Hamla,Ain M'Lila,Oum El Bouaghi,Algeria,4432661
97,032 66 61 03,032 66 61 07,,,Boulevard 01 Novembre,Dhalaa,Dhalaa,Oum El Bouaghi,Algeria,4491867
98,032 51 12 44,032 51 12 67,,,Rue El Oumal,Ain Kercha,Ain Kercha,Oum El Bouaghi,Algeria,4470516
99,032 51 01 65,032 51 01 66,,,Hanchir Toumghani Centre,Hanchir Toumghani,Ain Kercha,Oum El Bouaghi,Algeria,4469769
100,032 46 01 65,032 46 01 65/71/03,,,Djazia Centre,El Djazia,Dhalaa,Oum El Bouaghi,Algeria,4491892
101,032 58 41 41,032 58 41 12,,,Boulevard Slimane Amirat,Ain Diss,Ain Babouche,Oum El Bouaghi,Algeria,3671772
102,032 47 91 91,032 47 91 64,,,Rue Zinai Masai,Fkirina,F'Kirina,Oum El Bouaghi,Algeria,4486870
103,032 44 41 67,032 44 40 60,,,Cité Houari Boumadian,Souk Naamane,Souk Naamane,Oum El Bouaghi,Algeria,4432660
104,032 69 80 44,032 69 80 43,,,Village Ain Ben Iyad,Zorg,Ain Beida,Oum El Bouaghi,Algeria,4489766
105,032 58 31 02/07/80,032 58 31 03/02,,,Boughrara Saoudi Centre,El Fedjoudj Boughrara Sa,Ain Fakroun,Oum El Bouaghi,Algeria,4471633
106,032 45 41 02,032 45 41 01,,,Cité El Nacer,Ouled Zouai,Souk Naamane,Oum El Bouaghi,Algeria,4469615
107,032 45 80 03,032 45 80 19,,,Rue,Bir Chouhada,Souk Naamane,Oum El Bouaghi,Algeria,4432659
108,032 55 52 61/59,032 55 53 03,,,Boulevard 01 Novembre,Ksar Sbahi,Ksar Sbahi,Oum El Bouaghi,Algeria,4487146
109,032 48 21 26,032 48 21 26,,,Oued Nini Centre,Oued Nini,F'Kirina,Oum El Bouaghi,Algeria,4491789
110,032 66 21 70,032 47 17 34,,,Boulevard Meziani A/Hamid,Meskiana,Meskiana,Oum El Bouaghi,Algeria,4491932
111,032 40 14 11,032 40 23 23,,,Rue 01 Novembre 1954,Ain Fakroun,Ain Fakroun,Oum El Bouaghi,Algeria,4469737
112,032 67 91 02,032 67 91 44,,,Rue hadid Wali,Rahia,Meskiana,Oum El Bouaghi,Algeria,4491702
113,032 58 21 03,032 68 94 68,,,Ain Zitoun Centre,Ain Zitoun,Oum El Bouaghi,Oum El Bouaghi,Algeria,4471647
114,032 51 90 25,032 51 90 27/91 00,,,Ouled Gacem,Ouled Gacem,Ain M'Lila,Oum El Bouaghi,Algeria,3672487
115,032 51 72 01,032 51 72 04,,,Cité 05 Juillet 1962,El Harmilia,Ain Kercha,Oum El Bouaghi,Algeria,4469646
116,033.81.21.15,033.81.52.11,,,BATNA,Batna,Batna,Batna,Algeria,4224144
117,033.20.71.02,033.94.71.01,apcghassira@gmail.com,,Oueled abed - GHASSIRA,Ghassira,Tkout,Batna,Algeria,5202030
118,033.35.78.05,033.35.78.04,apc.maafa@gmail.com,,Berbat-MAAFA,Maafa,Ain Touta,Batna,Algeria,5195796
119,033.33.12.36,033.33.10.08,merouana@gmail.com,,boulevard 5 juillet-MEROUANA,Merouana,Merouana,Batna,Algeria,4864533
120,033.26.53.13,033.26.51.59,www.apcseriana0505@gmail.com,,SERIANA,Seriana,Seriana,Batna,Algeria,5229467
121,033.34.64.49,033.34.64.49,commune menaa@yahoo.fr,,Cité Idjemdane - MENAA,Menaa,Menaa,Batna,Algeria,5200833
122,033.26.85.93,033.26.84.97,,,Boulevard Ben badis,El Madher,El Madher,Batna,Algeria,5230088
123,033.82.21.69,033.82.24.22,apctazoult@gmail.com,,Rue Berkane mouhamed,Tazoult,Tazoult,Batna,Algeria,4650420
124,033.37.71.66,033.37.71.64,apc.ngaous@yahoo.fr,,N GAOUS,N’Gaous,N'Gaous,Batna,Algeria,5149366
125,033.36.01.02,033.36.01.04,apcguigba@gmail.com,,R/N N° 78 GUIGBA,Guigba,Ras El Aioun,Batna,Algeria,5149244
126,033.34.80.04,033.34.80.03,,,INOUGHISSEN,Inoughissen,Ichemoul,Batna,Algeria,5204390
127,033.21.72.66,033.21.71.23,apcouyounelassafir@gmail.com,,Sidi meaansar,Ouyoun El Assafir,Tazoult,Batna,Algeria,5234181
128,033.85.91.16,033.85.91.99,apcdjerm@gmail.com,,DJERMA Centre,Djerma,El Madher,Batna,Algeria,5229598
129,033.89.81.09,033.89.82.29,apc.bitam0514@gmail.com,,BITAM,Bitam,Barika,Batna,Algeria,5177042
130,033.95.32.05,033.95.31.03,aek azil 1959@gmail.com,,AZIL ABEDELKADER,Abdelkader Azil,Djezzar,Batna,Algeria,5160749
131,033.34.30.79,033.34.30.80,apc-arris@yahoo.com,,ARRIS,Arris,Arris,Batna,Algeria,5201972
132,033.20.31.02,033.20.31.42,apckimmel05@gmail.com,,Sidi ali-KIMMEL,Kimmel,Tkout,Batna,Algeria,5204368
133,033.91.21.01,033.91.21.04,tilatouapc@hotmail.com,,TILATOU- R/N 28,Tilatou,Seggana,Batna,Algeria,5180262
134,033.24.53.62,033.24.53.38,aindjasser@yahoo.fr,,Cité 1er Novembre -,Ain Djasser,Ain Djasser,Batna,Algeria,5216386
135,033.28.91.01,033.28.91.20,communeos@gmail.com,,OULED SELLEM,Ouled Sellam,Ras El Aioun,Batna,Algeria,4727888
136,033.20.52.00,033.20.51.87,apc-tigharghar@yahoo.fr,,TIGHARGHAR centre ville,Tigherghar,Menaa,Batna,Algeria,5200635
137,033.27.82.08,033.27.81.50,,,AIN YAGOUT,Ain Yagout,El Madher,Batna,Algeria,5240863
138,033.80.81.90,033.80.80.70,,,FESDIS,Fesdis,Batna,Batna,Algeria,4633179
139,033.37.53.35,033.37.53.34,,,SEFIANE,Sefiane,N'Gaous,Batna,Algeria,5176888
140,033.36.81.01,033.36.81.13,apcrahbat@gmail.com,,RAHBAT,Rahbat,Ras El Aioun,Batna,Algeria,4730910
141,033.34.21.34,033.34.22.57,apctighanimine11@gmail.com,,TIGHANIMINE,Tighanimine,Arris,Batna,Algeria,5201437
142,033.33.75.21,033.33.75.22,apclemsane@gmail.com,,LEMCENE- R/N 86,Lemsen,Ouled Si Slimane,Batna,Algeria,5147423
143,033.87.23.87,033.87.21.20,ksar0528@yahoo.com,,KSAR BELLEZMA,Ksar Bellezma,Merouana,Batna,Algeria,5207822
144,033.37.22.27,033.37.22.26,apc.seggana@gmail.com,,SEGGANA,Seggana,Seggana,Batna,Algeria,5177086
145,033.34.91.24,033.34.91.71,,,ICHEMOUL,Ichemoul,Ichemoul,Batna,Algeria,5231289
146,033.20.41.42,033.20.41.07,,,FOUM TOUB,Foum Toub,Ichemoul,Batna,Algeria,5234253
147,033.89.00.13,033.89.00.13,,,BENI FOUDHALA EL HAKANIA,Beni Foudhala El Hakania,Ain Touta,Batna,Algeria,5195901
148,033.33.30.50,033.33.31.35,ouedelma@gmail.com,,OUED EL MA,Oued El Ma,Merouana,Batna,Algeria,5226549
149,033.33.41.01,033.33.41.13,apctalkhamt@gmail.com,,TALKHAMT,Talkhamt,Ras El Aioun,Batna,Algeria,4730802
150,033.20.81.89,033.20.81.14,apsbouzina35@gmail.com,,BOUZINA,Bouzina,Bouzina,Batna,Algeria,5196080
151,033.32.60.02,033.32.66.60,apcchemora05@gmail.com,,CHEMORA,Chemora,Chemora,Batna,Algeria,5241205
152,033.80.12.75,033.80.12.75,co-oued-chaaba@hotmail.fr,,Cité lambiridi-OUED CHAABA,Oued Chaaba,Batna,Batna,Algeria,4633383
153,033.36.21.01,033.36.22.86,apctaxlent@gmail.com,,TAXLENT,Taxlent,Ouled Si Slimane,Batna,Algeria,5147557
154,033.36.61.22,033.36.61.10,apcgosbat0539@gmail.com,,GOSBAT,Gosbat,Ras El Aioun,Batna,Algeria,5175666
155,033.97.77.77,033.97.74.74,apscouledaouf0540@gmail.com,,tamesghite-OULED AOUF,Ouled Aouf,Ain Touta,Batna,Algeria,5176250
156,033.37.91.98,033.37.91.98,boumagueur0541@gmail.com,,BOUMAGUEUR,Boumagueur,N'Gaous,Batna,Algeria,5175546
157,033.39.12.90,033.39.13.98,apcbarika@hotmail.fr,,BARIKA,Barika,Barika,Batna,Algeria,5176213
158,033.89.52.14,033.89.54.15,djezzar.batna@yahoo.com,,DJEZZAR,Djezzar,Djezzar,Batna,Algeria,5175823
159,033.34.00.17,033.34.00.17,commune.tkout@gmail.com,,T KOUT centre,T’Kout,T’kout,Batna,Algeria,5204381
160,033.35.54.00,033.35.53.93,,,AIN TOUTA,Ain Touta,Ain Touta,Batna,Algeria,5181217
161,033.33.90.13,033.33.90.10,,,Frères anoune - Hidoussa,Hidoussa,Merouana,Batna,Algeria,4864578
162,033.34.10.16,033.34.11.80,,,TENIET EL ABED,Teniet El Abed,Theniet El Abed,Batna,Algeria,5201404
163,033.20.14.65,033.20.14.89,communeouedtaga@yahoo.com,,OUED TAGA,Oued Taga,Theniet El Abed,Batna,Algeria,5234317
164,033.32.32.31,033.32.32.67,,,route yabous,Ouled Fadel,Timgad,Batna,Algeria,5241219
165,033.21.11.07,033.21.15.50,,,Cité ezouhour,Timgad,Timgad,Batna,Algeria,5240919
166,033.37.04.00,033.37.04.06,apcrea0551@gmail.com,,RAS EL AIOUN,Ras El Aioun,Ras El Aioun,Batna,Algeria,5149283
167,033.20.62.38,033.20.62.37,communechir@gmail.com,,Nouader-CHIR,Chir,Theniet El Abed,Batna,Algeria,5201376
168,033.37.32.68,033.37.32.68,apcouledsislimane@gmail.com,,OULED SI SLIMANE- R/N 78,Ouled Si Slimane,Ouled Si Slimane,Batna,Algeria,5149321
169,033.87.61.87,033.87.61.99,,,ZANET EL BEIDA,Zanet El Beida,Seriana,Batna,Algeria,5226646
170,033.89.70.70,033.89.74.65,c.mdoukal2017@gmail.com,,M DOUKAL,M’Doukal,Barika,Batna,Algeria,5177026
171,033.37.41.44,033.37.41.48,oueledammar.0556@gmail.com,,BP 05121 ouled ammar,Ouled Ammar,Djezzar,Batna,Algeria,5175812
172,033.87.72.55,033.87.71.99,,,EL HASSI,El Hassi,Ain Djasser,Batna,Algeria,5209309
173,033.93.64.16,033.93.64.15,www.apclazrou@gmail.com,,LAZROU,Lazrou,Seriana,Batna,Algeria,5229570
174,033.26.21.20,033.26.21.19,,,BOUMIA,Boumia,El Madher,Batna,Algeria,5240975
175,033.32.93.74,033.32.93.70,apc b 0560@gmail.com,,BOULHILAT,Boulhilat,Chemora,Batna,Algeria,5241047
176,033.24.10.60,033.24.10.60,,,LARBAA,Larbaa,Bouzina,Batna,Algeria,5195935
177,034 17 46 44 /034 17 46 45,034 17 46 54,contact@apcbejaia.org,www.apcbejaia.org,rue si el-houas bejaia,Bejaia,Bejaia,Bejaia,Algeria,2094122
178,034 24 06 10 /034 24 02 52,034 24 03 05,,,amizour centre,Amizour,Amizour,Bejaia,Algeria,4112937
179,034 37 51 15 /034 37 51 14,034 37 51 10,,,feraoun centre,Feraoun,Amizour,Bejaia,Algeria,4112903
180,034 30 31 29,034 30 31 01,,,village tizi elkorn,Taourirt Ighil,Adekar,Bejaia,Algeria,4067932
181,034 33 92 76,034 33 92 78,,,siege apc chellata,Chellata,Akbou,Bejaia,Algeria,4069657
182,034 34 61 03,034 34 61 02,,,siege apc tamokra,Tamokra,Akbou,Bejaia,Algeria,4069720
183,034 14 60 35,034 14 60 35,,,Timezrit centre,Timezrit,Timezrit,Bejaia,Algeria,4070118
184,034 23 73 91,034 23 71 52,,,souk el tennine centre,Souk El Tenine,Souk El Tenine,Bejaia,Algeria,4112879
185,034 89 63 27,034 89 63 28,,,vallage sidi said,M'Cisna,Seddouk,Bejaia,Algeria,4070101
186,034 86 83 63,034 86 83 64,,www.tinebdar.com,TINEBDAR,Tinebdar,Sidi Aich,Bejaia,Algeria,4069489
187,034 81 52 65 /034 81 52 66,034 81 52 67,,,tichy centre,Tichy,Tichy,Bejaia,Algeria,4112952
188,034 27 21 11,034 27 21 26,,,smaoun centre,Semaoun,Amizour,Bejaia,Algeria,4112934
189,034 13 98 02,034 13 98 01,,,kendira centre,Kendira,Barbacha,Bejaia,Algeria,4112944
190,034 14 21 37,034 14 21 64,,,TIFRA,Tifra,Sidi Aich,Bejaia,Algeria,4069500
191,034 33 74 99,034 33 74 97,,,siege apc ighrem,Ighram,Akbou,Bejaia,Algeria,4069668
192,034 89 11 98 /034 89 11 96,034 89 11 99,,,amlou centre,Amalou,Seddouk,Bejaia,Algeria,4069971
193,034 33 30 14,034 33 30 04,,,ighil ali centre,Ighil-Ali,Ighil Ali,Bejaia,Algeria,4069801
194,034 82 60 04,034 82 60 09,,,fenaia il maten,Fenaïa Ilmaten,El Kseur,Bejaia,Algeria,4067950
195,034 13 12 42,034 13 12 43,,,toudja centre,Toudja,El Kseur,Bejaia,Algeria,4067893
196,034 39 80 43,034 39 81 75,,,darguina centre,Darguina,Darguina,Bejaia,Algeria,4112864
197,034 26 01 03,034 26 01 02,,,SIDI AYAD,Sidi Ayad,Sidi Aich,Bejaia,Algeria,4069491
198,034 23 24 10 /034 23 24 11,034 23 21 41,,,aokas centre,Aokas,Aokas,Bejaia,Algeria,4112961
199,034 27 01 05,034 27 01 06,,,beni djellil centre,Beni Djellil,Amizour,Bejaia,Algeria,4112900
200,034 86 38 48,034 86 39 41,,,adekar centre,Adekar,Adekar,Bejaia,Algeria,4067907
201,034 35 90 98 /034 35 90 99,034 35 90 23,,,rue colonel amirouche akbou,Akbou,Akbou,Bejaia,Algeria,4069688
202,034 32 35 52 /034 32 35 64,034 32 35 83,,,seddouk centre,Seddouk,Seddouk,Bejaia,Algeria,4070075
203,034 31 35 20 /034 31 35 77,034 31 36 12,,,tazmalt centre,Tazmalt,Tazmalt,Bejaia,Algeria,4069751
204,034 36 46 06,034 36 46 03,,,ait rzine centre,Ait R'Zine,Ighil Ali,Bejaia,Algeria,4069831
205,034 29 05 52 /034 29 05 53,034 29 01 10,,,chemini centre,Chemini,Chemini,Bejaia,Algeria,4069536
