,Town,Phone number,Fax,Email,Website,Address,Daira,Wilaya
36,Harchoun,027 44 32 82/48/58/78,027 44 32 58/33 48/33 78,,,"
                                    Rue belboula kaddour harchoun                                
            ",                    el karimia                                               ,                    chleef                                            
37,Ouled fares,027 72 02 29/00 08/94 02/93 27,027 72 90 80/91 28,apc.ouledfares@yahoo.fr,,"
                                    Ouled fares centre                                
            ",                    ouled fares                                               ,                    chleef                                            
38,Sidi akkacha,027 76 00 20/02 00,027 76 07 72,,,"
                                    Rue SI elhadi,sidi akkacha centre                                
            ",                    tenes                                               ,                    chleef                                            
39,Boukadir,027 74 02 91,027 74 95 56,com0212@wilaya-chlef.dz,,"
                                    Boukadir centre                                
            ",                    boukadir                                               ,                    chleef                                            
40,Beni rached,027 44 01 59,027 44 01 02/66,,,"
                                    Rue belaaradj ali num 08                                 
            ",                    oued fodda                                               ,                    chleef                                            
41,Talassa,027 46 31 06,027 46 3106,apctalassa@gmail.com,,"
                                    Siège commune cite ben badis talassa                                
            ",                    abou el hassane                                               ,                    chleef                                            
42,Herenfa,027 42 21 30/70,027 42 21 30/70,,,"
                                    Rue hassiba benbouali Herenfa centre                                
            ",                    ain merane                                               ,                    chleef                                            
43,Oued goussine,027 75 81 23,027 75 81 50,,,"
                                    Oued goussine centre                                
            ",                    beni haoua                                               ,                    chleef                                            
44,Dahra,027 42 61 03/88/56,027 42 61 88/03,dahra0217@gmail.com,,"
                                    Rue 01 novembre 1954                                
            ",                    taougrit                                               ,                    chleef                                            
45,Ouled abbes,027 44 21 04,027 44 26 53/21 28,,,"
                                    Rue larbi soudani                                
            ",                    oued fodda                                               ,                    chleef                                            
46,Sendjas,027 70 08 50/99,027 70 08 50/99,com0219@wilaya-chlef.dz,,"
                                    Sendjas centre                                
            ",                    chlef                                               ,                    chleef                                            
47,Zeboudja,027 75 20 81/22 92/24 80,027 75 20 61/22 92,,,"
                                    Rue benazzmia el hadj dit meliani N24                                
            ",                    zeboudja                                               ,                    chleef                                            
48,Oued sly,027 71 00 49,027 71 08 90/09 00,com0221@wilaya-chlef.dz,,"
                                    Oued sly centre                                
            ",                    boukadir                                               ,                    chleef                                            
49,Abou el hassane,027 75 54 01,027 75 54 82,,,"
                                    Abou el hassen centre                                
            ",                    abou el hassane                                               ,                    chleef                                            
50,El marsa,027 75 61 35,027 75 61 33,marsa-new@gmail.com,,"
                                    Hay kharbouche lakhal rue 01 nov 1954                                
            ",                    el marsa                                               ,                    chleef                                            
51,Chettia,027 73 16 00/ 77 62 24,027 73 16 00,apc_chettia@hotmail.com,,"
                                    APC chettia zone 05 chettia chlef                                
            ",                    ouled fares                                               ,                    chleef                                            
52,Sidi abderrahmane,027 46 51 55,027 46 51 59 / 26,,,"
                                    Cité rekkab mohammed                                
            ",                    tenes                                               ,                    chleef                                            
53,Moussadek,027 46 21 17,027 46 22 60,apc0226@gmail.com,,"
                                    Rue yahi maamar Moussadek chlef                                
            ",                    el marsa                                               ,                    chleef                                            
54,El hadjadj,027 49 21 01,027 49 21 16/22 61,,,"
                                    El hadjadj centre rue hassiba ben bouali N°51                                
            ",                    ouled ben abdelkader                                               ,                    chleef                                            
55,Labiod medjadja,027 49 31 05/33 28,027 49 33 28/31 05,,,"
                                    APC labiodh-madjadja centre                                
            ",                    ouled fares                                               ,                    chleef                                            
56,Oued fodda,027 44 62 95,027 44 77 14/70 71,,,"
                                    Rue 1 er novembre                                
            ",                    oued fodda                                               ,                    chleef                                            
57,Ouled ben abdelkader,027 42 31 04,027 42 34 05,apcobaek@yahoo.fr,,"
                                    Hay abdelhamid ben badis ouled ben abdelkader centre wilaya de chlef                                
            ",                    ouled ben abdelkader                                               ,                    chleef                                            
58,Bouzeghaia,027 71 50 04,027 71 58 58/50 61,apcbouzghaia0231@gmail.com ,,"
                                    Bouzghaia centre                                
            ",                    zeboudja                                               ,                    chleef                                            
59,Ain merane,027 42 94 00/90 96,027 42 94 00/90 96,rabelais0232@gmail.com,,"
                                    Quartier sehil larbi Ain merane centre                                
            ",                    ain merane                                               ,                    chleef                                            
60,Oum drou,027 71 80 25,027 71 83 66/80 94,,,"
                                    Siège apc                                
            ",                    chlef                                               ,                    chleef                                            
61,Breira,027 46 61 02/18/20,027 46 61 02/18/20,,,"
                                    Breira centre                                
            ",                    beni haoua                                               ,                    chleef                                            
62,Beni  bouattab,027 44 51 04/56,027 44 51 10,,,"
                                    Beni bouatteb centre                                
            ",                    el karimia                                               ,                    chleef                                            
63,Laghouat,029 10 17 47,029 10 16 35,,,"
                                    BVR independance dist 01                                 
            ",                    laghouat                                               ,                    laghouat                                            
64,Ksar el hirane,029 93 96 56,029 93 96 56,,,"
                                    cite djenidi lakhdar n 02                                
            ",                    ksar el hirane                                               ,                    laghouat                                            
65,Benacer benchohra,029 14 32 30,029 14 32 30,,,"
                                    cite merizgui abdelkader                                
            ",                    ksar el hirane                                               ,                    laghouat                                            
66,Sidi makhlouf,029 14 12 48,029 14 12 37 / 029 14 12 48,communesidimakhlouf@gmail.com,,"
                                    boulevard brichi belaide                                
            ",                    sidi makhlouf                                               ,                    laghouat                                            
67,Hassi delaa,029 18 03 43,029 18 03 43,apchdag17@gmail.com,,"
                                    commune hassi delaa                                
            ",                    hassi r'mel                                               ,                    laghouat                                            
68,Hassi r'mel,029 18 71 71,029 18 71 70/029 18 71 69,apc-hrm@gmail.com,,"
                                    apc hassi rmel                                 
            ",                    hassi r'mel                                               ,                    laghouat                                            
69,Ain madhi,029 13 04 85/029 13 05 84,029 93 01 20/029 93 01 21,apcainmadi@yahoo.com,www.apc-ainmadhi.dz,"
                                    avenue du 1 novombre                                 
            ",                    ain madhi                                               ,                    laghouat                                            
70,Tadjemout,029 13 65 71,029 13 65 71,,,"
                                    cite 100 logements                                
            ",                    ain madhi                                               ,                    laghouat                                            
71,Kheneg,029 14 82 38/029 14 82 21,029 14 82 39,,,"
                                    commune kheneg                                
            ",                    ain madhi                                               ,                    laghouat                                            
72,Gueltat sidi saad,029 17 33 23,029 17 33 25,apc gueltat sidi saad@gmail.com,,"
                                    ahdath 11 decembre                                
            ",                    gueltat sidi saad                                               ,                    laghouat                                            
73,Ain sidi ali,029 17 02 90,029 17 02 89,apc ain sidi ali@gmail.com,,"
                                    cite elchahid toumi adda                                
            ",                    gueltat sidi saad                                               ,                    laghouat                                            
74,El beidha,029 16 82 82,029 16 82 85/84,,,"
                                    rue alamir abdelkader                                
            ",                    gueltat sidi saad                                               ,                    laghouat                                            
75,Brida,029 16 02 75,029 16 02 75,communebrida@gmail.com,,"
                                    commune brida                                
            ",                    brida                                               ,                    laghouat                                            
76,El ghicha,029 16 52 24,029 16 52 24,communeelghicha@yahoo.com,,"
                                    ruerouadi abdelkader                                
            ",                    el ghicha                                               ,                    laghouat                                            
77,Hadj mechri,029 16 89 52,029 16 89 52,apchadjmechri@gmail.com,,"
                                    commune hadj mechri                                
            ",                    brida                                               ,                    laghouat                                            
78,Sebgag,029 16 91 68,029 16 91 69,,,"
                                    vsa sebgag                                
            ",                    aflou                                               ,                    laghouat                                            
79,Taouiala,029 16 32 94,029 16 32 56,apctaouiala0317@gmail.com,,"
                                    cite quarter martyrs                                
            ",                    brida                                               ,                    laghouat                                            
80,Tadjrouna,029 14 02 05,029 14 01 02,tadjrouna0318@gmail.com ,,"
                                    commune tadjrouna                                
            ",                    ain madhi                                               ,                    laghouat                                            
81,Aflou,029 16 67 89,029 16 67 65,,,"
                                    cite revolution agricole                                
            ",                    aflou                                               ,                    laghouat                                            
82,El assafia,029 12 62 31,029 12 62 29,apc.el.assafia@gmail.com,,"
                                    cite 08 mai 1945                                
            ",                    sidi makhlouf                                               ,                    laghouat                                            
83,Oued morra,029 16 38 66,029 16 38 66,,,"
                                    commune oued morra                                
            ",                    oued morra                                               ,                    laghouat                                            
84,Oued m'zi,029 12 30 16,029 12 30 16,,,"
                                    commune m'zi                                
            ",                    oued morra                                               ,                    laghouat                                            
85,El haouaita,029 14 41 50,029 14 41 49,haouitadz@gmail.com ,,"
                                    commune el haouita                                
            ",                    ain madhi                                               ,                    laghouat                                            
86,Sidi bouzid,029 16 21 87,029 16 21 88,,,"
                                    commune sidi bouzid                                
            ",                    aflou                                               ,                    laghouat                                            
87,Oum el bouaghi,032 56 02 09,032 56 07 08/06 20/06 98,,,"
                                    Rue Abbad Alaoua                                
            ",                    oum el bouaghi                                               ,                    oum el bouaghi                                            
88,Ain beida,032 68 94 67,032 68 94 68,,,"
                                    Boulevard Kanouni El Tayeb                                
            ",                    ain beida                                               ,                    oum el bouaghi                                            
89,Ain m'lila,032 50 60 32,032 50 60 30,,,"
                                    Boulevard Souiki Boudjmaa                                
            ",                    ain m'lila                                               ,                    oum el bouaghi                                            
90,Behir chergui,032 66 81 20/21,032 66 81 20,,,"
                                    Rue guerre de  libiration                                 
            ",                    meskiana                                               ,                    oum el bouaghi                                            
91,El amiria,032 58 61 04,032 58 61 04,,,"
                                    Ouled Djlila                                
            ",                    sigus                                               ,                    oum el bouaghi                                            
92,Sigus,032 56 81 53,032 56 80 03,,,"
                                    Rue El Istiklal                                
            ",                    sigus                                               ,                    oum el bouaghi                                            
93,El belala,032 66 80 14,032 66 80 13,,,"
                                    Boulevard 01 Mai 1945                                
            ",                    meskiana                                               ,                    oum el bouaghi                                            
94,Ain babouche,032 67 33 20,032 67 33 89,,,"
                                    Boulevad Ben Boulaid                                
            ",                    ain babouche                                               ,                    oum el bouaghi                                            
95,Berriche,032 67 51 25,032 67 51 24,,,"
                                    Rue 01 Novembre                                
            ",                    ain beida                                               ,                    oum el bouaghi                                            
96,Ouled hamla,032 44 51 00/50 50,032 44 51 30,,,"
                                    Ouled Hamla Centre                                
            ",                    ain m'lila                                               ,                    oum el bouaghi                                            
97,Dhalaa,032 66 61 03,032 66 61 07,,,"
                                    Boulevard 01 Novembre                                
            ",                    dhalaa                                               ,                    oum el bouaghi                                            
98,Ain kercha,032 51 12 44,032 51 12 67,,,"
                                    Rue El Oumal                                
            ",                    ain kercha                                               ,                    oum el bouaghi                                            
99,Hanchir toumghani,032 51 01 65,032 51 01 66,,,"
                                    Hanchir Toumghani Centre                                
            ",                    ain kercha                                               ,                    oum el bouaghi                                            
100,El djazia,032 46 01 65,032 46 01 65/71/03,,,"
                                    Djazia Centre                                
            ",                    dhalaa                                               ,                    oum el bouaghi                                            
101,Ain diss,032 58 41 41,032 58 41 12,,,"
                                    Boulevard Slimane Amirat                                
            ",                    ain babouche                                               ,                    oum el bouaghi                                            
102,Fkirina,032 47 91 91,032 47 91 64,,,"
                                    Rue Zinai Masai                                
            ",                    f'kirina                                               ,                    oum el bouaghi                                            
103,Souk naamane,032 44 41 67,032 44 40 60,,,"
                                    Cité Houari Boumadian                                
            ",                    souk naamane                                               ,                    oum el bouaghi                                            
104,Zorg,032 69 80 44,032 69 80 43,,,"
                                    Village Ain Ben Iyad                                
            ",                    ain beida                                               ,                    oum el bouaghi                                            
105,El fedjoudj boughrara sa,032 58 31 02/07/80,032 58 31 03/02,,,"
                                    Boughrara Saoudi Centre                                
            ",                    ain fekroun                                               ,                    oum el bouaghi                                            
106,Ouled zouai,032 45 41 02,032 45 41 01,,,"
                                    Cité El Nacer                                
            ",                    souk naamane                                               ,                    oum el bouaghi                                            
107,Bir chouhada,032 45 80 03,032 45 80 19,,,"
                                    Rue                                 
            ",                    souk naamane                                               ,                    oum el bouaghi                                            
108,Ksar sbahi,032 55 52 61/59,032 55 53 03,,,"
                                    Boulevard 01 Novembre                                
            ",                    ksar sbahi                                               ,                    oum el bouaghi                                            
109,Oued nini,032 48 21 26,032 48 21 26,,,"
                                    Oued Nini Centre                                
            ",                    f'kirina                                               ,                    oum el bouaghi                                            
110,Meskiana,032 66 21 70,032 47 17 34,,,"
                                    Boulevard Meziani A/Hamid                                
            ",                    meskiana                                               ,                    oum el bouaghi                                            
111,Ain fekroun,032 40 14 11,032 40 23 23,,,"
                                    Rue 01 Novembre 1954                                
            ",                    ain fekroun                                               ,                    oum el bouaghi                                            
112,Rahia,032 67 91 02,032 67 91 44,,,"
                                    Rue hadid Wali                                
            ",                    meskiana                                               ,                    oum el bouaghi                                            
113,Ain zitoun,032 58 21 03,032 68 94 68,,,"
                                    Ain Zitoun Centre                                
            ",                    oum el bouaghi                                               ,                    oum el bouaghi                                            
114,Ouled gacem,032 51 90 25,032 51 90 27/91 00,,,"
                                    Ouled Gacem                                
            ",                    ain m'lila                                               ,                    oum el bouaghi                                            
115,El harmilia,032 51 72 01,032 51 72 04,,,"
                                    Cité 05 Juillet 1962                                
            ",                    ain kercha                                               ,                    oum el bouaghi                                            
116,Batna,033.81.21.15,033.81.52.11,,,"
                                    BATNA                                
            ",                    batna                                               ,                    batna                                            
117,Ghassira,033.20.71.02,033.94.71.01,apcghassira@gmail.com,,"
                                    Oueled abed - GHASSIRA                                
            ",                    tkout                                               ,                    batna                                            
118,Maafa,033.35.78.05,033.35.78.04,apc.maafa@gmail.com,,"
                                    Berbat-MAAFA                                
            ",                    ain touta                                               ,                    batna                                            
119,Merouana,033.33.12.36,033.33.10.08,merouana@gmail.com,,"
                                    boulevard 5 juillet-MEROUANA                                
            ",                    merouana                                               ,                    batna                                            
120,Seriana,033.26.53.13,033.26.51.59,www.apcseriana0505@gmail.com,,"
                                    SERIANA                                
            ",                    seriana                                               ,                    batna                                            
121,Menaa,033.34.64.49,033.34.64.49,commune menaa@yahoo.fr,,"
                                    Cité Idjemdane - MENAA                                
            ",                    menaa                                               ,                    batna                                            
122,El madher,033.26.85.93,033.26.84.97,,,"
                                    Boulevard Ben badis                                 
            ",                    el madher                                               ,                    batna                                            
123,Tazoult,033.82.21.69,033.82.24.22,apctazoult@gmail.com,,"
                                    Rue Berkane mouhamed                                
            ",                    tazoult                                               ,                    batna                                            
124,N gaous,033.37.71.66,033.37.71.64,apc.ngaous@yahoo.fr,,"
                                    N GAOUS                                
            ",                    n'gaous                                               ,                    batna                                            
125,Guigba,033.36.01.02,033.36.01.04,apcguigba@gmail.com,,"
                                    R/N N° 78 GUIGBA                                
            ",                    ras el aioun                                               ,                    batna                                            
126,Inoughissen,033.34.80.04,033.34.80.03,,,"
                                    INOUGHISSEN                                
            ",                    ichemoul                                               ,                    batna                                            
127,Ouyoun el assafir,033.21.72.66,033.21.71.23,apcouyounelassafir@gmail.com,,"
                                    Sidi meaansar                                
            ",                    tazoult                                               ,                    batna                                            
128,Djerma,033.85.91.16,033.85.91.99,apcdjerm@gmail.com,,"
                                    DJERMA Centre                                
            ",                    el madher                                               ,                    batna                                            
129,Bitam,033.89.81.09,033.89.82.29,apc.bitam0514@gmail.com,,"
                                    BITAM                                
            ",                    barika                                               ,                    batna                                            
130,Azil abedelkader,033.95.32.05,033.95.31.03,aek azil 1959@gmail.com,,"
                                    AZIL ABEDELKADER                                
            ",                    djezzar                                               ,                    batna                                            
131,Arris,033.34.30.79,033.34.30.80,apc-arris@yahoo.com,,"
                                    ARRIS                                
            ",                    arris                                               ,                    batna                                            
132,Kimmel,033.20.31.02,033.20.31.42,apckimmel05@gmail.com,,"
                                    Sidi ali-KIMMEL                                
            ",                    tkout                                               ,                    batna                                            
133,Tilatou,033.91.21.01,033.91.21.04,tilatouapc@hotmail.com,,"
                                    TILATOU- R/N 28                                
            ",                    seggana                                               ,                    batna                                            
134,Ain djasser,033.24.53.62,033.24.53.38,aindjasser@yahoo.fr,,"
                                    Cité 1er Novembre -                                
            ",                    ain djasser                                               ,                    batna                                            
135,Ouled sellem,033.28.91.01,033.28.91.20,communeos@gmail.com,,"
                                    OULED SELLEM                                
            ",                    ras el aioun                                               ,                    batna                                            
136,Tigharghar,033.20.52.00,033.20.51.87,apc-tigharghar@yahoo.fr,,"
                                    TIGHARGHAR centre ville                                
            ",                    menaa                                               ,                    batna                                            
137,Ain yagout,033.27.82.08,033.27.81.50,,,"
                                    AIN YAGOUT                                
            ",                    el madher                                               ,                    batna                                            
138,Fesdis,033.80.81.90,033.80.80.70,,,"
                                    FESDIS                                
            ",                    batna                                               ,                    batna                                            
139,Sefiane,033.37.53.35,033.37.53.34,,,"
                                    SEFIANE                                
            ",                    n'gaous                                               ,                    batna                                            
140,Rahbat,033.36.81.01,033.36.81.13,apcrahbat@gmail.com,,"
                                    RAHBAT                                
            ",                    ras el aioun                                               ,                    batna                                            
141,Tighanimine,033.34.21.34,033.34.22.57,apctighanimine11@gmail.com,,"
                                    TIGHANIMINE                                
            ",                    arris                                               ,                    batna                                            
142,Lemcene,033.33.75.21,033.33.75.22,apclemsane@gmail.com,,"
                                    LEMCENE- R/N 86                                
            ",                    ouled si slimane                                               ,                    batna                                            
143,Ksar bellezma,033.87.23.87,033.87.21.20,ksar0528@yahoo.com,,"
                                    KSAR BELLEZMA                                
            ",                    merouana                                               ,                    batna                                            
144,Seggana,033.37.22.27,033.37.22.26,apc.seggana@gmail.com,,"
                                    SEGGANA                                
            ",                    seggana                                               ,                    batna                                            
145,Ichemoul,033.34.91.24,033.34.91.71,,,"
                                    ICHEMOUL                                
            ",                    ichemoul                                               ,                    batna                                            
